Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
Cast Away (2000),7.8,Nominated for 2 Oscars,15 wins & 38 nominations total,Robert Zemeckis,"$429,632,142",PG-13,1.2K,109,559K
The Conjuring (2013),7.5,Awards,15 wins & 22 nominations,James Wan,"$320,290,989",R,1.2K,574,480K
American Hustle (2013),7.2,Nominated for 10 Oscars,69 wins & 227 nominations total,David O. Russell,"$251,171,807",R,845,551,465K
Falling Down (1993),7.6,Awards,1 win & 2 nominations,Joel Schumacher,"$40,903,593",R,492,96,182K
Kingsman: The Secret Service (2014),7.7,Awards,10 wins & 32 nominations,Matthew Vaughn,"$414,351,546",R,1K,476,623K
Gone Baby Gone (2007),7.6,Nominated for 1 Oscar,33 wins & 32 nominations total,Ben Affleck,"$34,612,443",R,623,272,264K
Dark Water (2005),5.6,Awards,6 nominations,Walter Salles,"$68,357,079",PG-13,457,204,61K
Dead Man Walking (1995),7.5,Won 1 Oscar,23 wins & 23 nominations total,Tim Robbins,"$39,363,635",R,232,70,92K
The Killers (1946),7.8,Nominated for 4 Oscars,3 wins & 4 nominations total,Robert Siodmak,"$58,222",Passed,136,110,20K
Wall Street (1987),7.4,Won 1 Oscar,10 wins & 5 nominations total,Oliver Stone,"$43,848,069",R,249,124,150K
Whiplash (2014),8.5,Won 3 Oscars,98 wins & 145 nominations total,Damien Chazelle,"$49,396,747",R,1.4K,592,775K
Moulin Rouge! (2001),7.6,Won 2 Oscars,87 wins & 132 nominations total,Baz Luhrmann,"$184,935,320",PG-13,2.3K,210,275K
Training Day (2001),7.7,Won 1 Oscar,18 wins & 23 nominations total,Antoine Fuqua,"$104,876,233",R,757,125,413K
Unlawful Entry (1992),6.3,Awards,1 nomination,Jonathan Kaplan,"$57,138,719",R,85,33,16K
